id,website,status_code,dnssec,mx_hosts_hostname,spf_record,spf_valid,dmarc_record,dmarc_valid,dmarc_tags_p_value,dmarc_tags_pct,dmarc_tags_aspf,dmarc_tags_adkim,dmarc_tags_sp,rank,company
63,www.abbvie.com,200,False,"",,False,"v=DMARC1; p=quarantine; fo=1; pct=100; ri=14400; rua=mailto:abbvie@rua.dmp.cisco.com,mailto:ECS.Messaging.Reports@abbvie.com; ruf=mailto:abbvie@ruf.dmp.cisco.com,mailto:ECS.Messaging.Reports@abbvie.com",True,quarantine,100,r,r,quarantine,63,AbbVie
64,www.dow.com,200,False,"",,False,v=DMARC1; p=quarantine; rua=mailto:fglsmtp@dow.com,True,quarantine,100,r,r,quarantine,64,Dow
65,www.tesla.com,200,False,"",,False,v=DMARC1; p=reject; pct=100; rua=mailto:n2ju30bc@ag.dmarcian.com; ruf=mailto:n2ju30bc@fr.dmarcian.com; fo=1,True,reject,100,r,r,reject,65,Tesla
66,www.allstate.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:5fd5ee16@mxtoolbox.dmarc-report.com; ruf=mailto:5fd5ee16@forensics.dmarc-report.com,True,none,100,r,r,none,66,Allstate
67,www.aig.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:aig@rua.agari.com; ruf=mailto:aig@ruf.agari.com,True,reject,100,r,r,reject,67,AIG
68,www.bestbuy.com,200,False,"",,False,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,quarantine,100,r,r,quarantine,68,Best Buy
69,corporate.charter.com,200,False,"",,False,,False,,,,,,69,Charter Communications
70,www.sysco.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,70,Sysco
71,www.merck.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:merck@rua.agari.com; ruf=mailto:merck@ruf.agari.com,True,reject,100,r,r,reject,71,Merck
72,www.newyorklife.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1,True,none,100,r,r,none,72,New York Life Insurance
73,www.caterpillar.com,200,False,"",,False,,False,,,,,,73,Caterpillar
74,www.cisco.com,200,False,"",,False,v=DMARC1; p=quarantine; pct=0; fo=1; ri=3600; rua=mailto:ynldvgsr@ag.dmarcian.com; ruf=mailto:ynldvgsr@fr.dmarcian.com;,True,quarantine,0,r,r,quarantine,74,Cisco Systems
75,www.tjx.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; rf=afrf; pct=100; ri=86400; fo=1,True,reject,100,r,r,reject,75,TJX
76,www.publix.com,200,False,"",,False,v=DMARC1; p=quarantine; fo=1; rua=mailto:secops@publix.com; ruf=mailto:secops@publix.com,True,quarantine,100,r,r,quarantine,76,Publix Super Markets
77,www.conocophillips.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc.rua@conocophillips.com;ruf=mailto:dmarc.ruf@conocophillips.com,True,none,100,r,r,none,77,ConocoPhillips
78,www.libertymutualgroup.com,200,False,"",,False,,False,,,,,,78,Liberty Mutual Insurance Group
79,www.progressive.com,200,False,"",,False,,False,,,,,,79,Progressive
80,www.nationwide.com,200,False,"",,False,v=DMARC1;p=none;fo=1;rua=mailto:dmarcrua@nationwide.com;ruf=mailto:dmarcruf@nationwide.com,True,none,100,r,r,none,80,Nationwide
81,www.tysonfoods.com,200,False,"",,False,"v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:svc-dmarc@tyson.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:svc-dmarc@tyson.com",True,reject,100,r,r,reject,81,Tyson Foods
82,www.bms.com,200,False,"",,False,,False,,,,,,82,Bristol-Myers Squibb
83,www.nike.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,83,Nike
84,www.deere.com,200,False,"",,False,v=DMARC1;p=reject;fo=1;ri=86400;rua=mailto:dmarc_rua@johndeere.com;ruf=mailto:dmarc_ruf@johndeere.com,True,reject,100,r,r,reject,84,Deere
85,www.americanexpress.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net,True,reject,100,r,r,reject,85,American Express
86,www.abbott.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,86,Abbott Laboratories
87,www.stonex.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,87,StoneX Group
88,www.plains.com,200,False,"",,False,,False,,,,,,88,Plains GP Holdings
89,www.enterpriseproducts.com,200,False,"",,False,,False,,,,,,89,Enterprise Products
90,www.tiaa.org,200,False,"",,False,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:tiaa@rua.agari.com; ruf=mailto:tiaa@ruf.agari.com,True,none,100,r,r,none,90,TIAA
91,www.oracle.com,200,False,"",,False,v=DMARC1;p=none;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,True,none,100,r,r,none,91,Oracle
92,www.thermofisher.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,92,Thermo Fisher Scientific
93,www.coca-colacompany.com,200,False,"",,False,"v=DMARC1; p=reject; pct=100; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarcreports@coca-cola.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarcreports@coca-cola.com",True,reject,100,r,r,reject,93,Coca-Cola
94,www.gd.com,200,False,"",,False,,False,,,,,,94,General Dynamics
95,www.chsinc.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,95,CHS
96,www.usaa.com,200,True,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net,True,reject,100,r,r,reject,96,USAA
97,www.northwesternmutual.com,200,False,"",,False,v=DMARC1;p=reject;sp=quarantine;fo=1;ri=3600;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,quarantine,97,Northwestern Mutual
98,www.nucor.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,98,Nucor
99,www.exeloncorp.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:postmaster@exeloncorp.com,True,none,100,r,r,none,99,Exelon
100,www.massmutual.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; pct=100; ri=3600; rua=mailto:massmutual@rua.agari.com; ruf=mailto:massmutual@ruf.agari.com,True,reject,100,r,r,reject,100,Massachusetts Mutual Life
101,www.northropgrumman.com,200,False,"",,False,,False,,,,,,101,Northrop Grumman
102,www.3m.com,200,False,"",,False,v=DMARC1; p=quarantine; fo=1; ri=3600; rua=mailto:3m@rua.dmp.cisco.com; ruf=mailto:3m@ruf.dmp.cisco.com,True,quarantine,100,r,r,quarantine,102,3M
103,www.travelers.com,200,False,"",,False,,False,,,,,,103,Travelers
104,www.arrow.com,200,False,"",,False,v=DMARC1; p=quarantine; rua=mailto:rywdzx3h@ag.dmarcian.com; pct=100;,True,quarantine,100,r,r,quarantine,104,Arrow Electronics
105,www.honeywell.com,200,False,"",,False,v=DMARC1; p=reject; sp=none; adkim=r; aspf=r; fo=1; pct=100; rf=afrf; ri=3600; rua=mailto:honeywell@rua.agari.com; ruf=mailto:honeywell@ruf.agari.com,True,reject,100,r,r,none,105,Honeywell International
106,www.dollargeneral.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,True,none,100,r,r,none,106,Dollar General
107,www.qualcomm.com,200,False,"",,False,v=DMARC1; p=none; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;,True,none,100,r,r,reject,107,Qualcomm
108,www.capitalone.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:capital-one@rua.agari.com; ruf=mailto:capital-one@ruf.agari.com,True,reject,100,r,r,reject,108,Capital One Financial
109,www.tdsynnex.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:o0ljpdxs@ag.eu.dmarcadvisor.com; ruf=mailto:o0ljpdxs@fr.eu.dmarcadvisor.com; fo=1,True,reject,100,r,r,reject,109,TD Synnex
110,www.pmi.com,200,False,"",,False,v=DMARC1; p=reject; adkim=s; aspf=s; pct=100; fo=1; rua=mailto:9a57f3e7816e407@rep.dmarcanalyzer.com; ruf=mailto:9a57f3e7816e407@rep.dmarcanalyzer.com;,True,reject,100,s,s,reject,110,Philip Morris Internationé
111,www.wfscorp.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:tenant.admin@worldfuelservices.onmicrosoft.com; ruf=mailto:tenant.admin@worldfuelservices.onmicrosoft.com,True,reject,100,r,r,reject,111,World Fuel Services
112,www.pfgc.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:PFGDMARCReports@pfgc.com,True,none,100,r,r,none,112,Performance Food Group
113,www.delta.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,113,Delta Air Lines
114,www.aa.com,200,False,"",,False,"v=DMARC1; p=reject; sp=reject; fo=1; ri=3600; rua=mailto:american@rua.agari.com,mailto:dmarc@aa.com; ruf=mailto:american@ruf.agari.com,mailto:dmarc@aa.com",True,reject,100,r,r,reject,114,American Airlines Group
115,www.netflix.com,200,False,"",,False,,False,,,,,,115,Netflix
116,www.paramount.com,200,False,"",,False,,False,,,,,,116,Paramount Global
117,www.usfoods.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email,True,none,100,r,r,none,117,US Foods Holding
118,www.danaher.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,118,Danaher
119,www.jabil.com,200,False,"",,False,v=DMARC1; p=quarantine; rua=mailto:DMARC_reporting@jabil.com; ruf=mailto:DMARC_reporting@jabil.com; pct=100; fo=1:d:s,True,quarantine,100,r,r,quarantine,119,Jabil
120,www.starbucks.com,200,False,"",,False,v=DMARC1; p=reject; sp=none; fo=1; ri=3600; rua=mailto:aggrep@starbucks.com; ruf=mailto:authfail@starbucks.com;,True,reject,100,r,r,none,120,Starbucks
121,www.mondelezinternational.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,121,Mondelez International
122,www.lilly.com,200,False,"",,False,v=DMARC1;p=reject;pct=100;rua=mailto:lilly@rua.dmp.cisco.com,True,reject,100,r,r,reject,122,EliLilly
123,www.hpe.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1,True,none,100,r,r,none,123,Hewlett Packard Enterpri
124,www.drhorton.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:exchangedmarc@drhorton.com; ruf=mailto:exchangedmarc@drhorton.com,True,none,100,r,r,none,124,D.R. Horton
125,www.molinahealthcare.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,125,Molina Healthcare
126,www.cbre.com,200,False,"",,False,"v=DMARC1; p=reject; fo=1; pct=100; rua=mailto:dmarc_agg@auth.returnpath.net,mailto:us_svc_dmarc@cbre.com; ruf=mailto:dmarc_afrf@auth.returnpath.net",True,reject,100,r,r,reject,126,CBRE Group
127,www.micron.com,200,False,"",,False,,False,,,,,,127,Micron Technology
128,www.broadcom.com,200,True,"",,False,"v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc_agg@vali.email,mailto:dmarc-admin.pdl-it@broadcom.com; ruf=mailto:dmarc-ruf-admin.pdl@broadcom.com",True,quarantine,100,r,r,quarantine,128,Broadcom
129,www.gilead.com,200,True,"",,False,"v=DMARC1; p=none; pct=100; fo=1; rua=mailto:dmarcreport@gilead.com,mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com",True,none,100,r,r,none,129,Gilead Sciences
130,www.pbfenergy.com,200,False,"",,False,"v=DMARC1;p=none;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:pbfpostmaster@pbfenergy.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:pbfpostmaster@pbfenergy.com",True,none,100,r,r,none,130,PBF Energy
131,www.lennar.com,200,False,"",,False,v=DMARC1;p=none;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,131,Lennar
132,www.unfi.com,200,True,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,132,United Natural Foods
133,www.nrg.com,200,False,"",,False,"v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_aggdata@nrg.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_forensic@nrg.com",True,none,100,r,r,none,133,NRG Energy
134,www.nvidia.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; fo=1; ri=3600,True,reject,100,r,r,reject,134,Nvidia
135,www.oxy.com,200,False,"",,False,,False,,,,,,135,Occidental Petroleum
136,www.salesforce.com,200,True,"",,False,"v=DMARC1;p=reject;pct=100;fo=1;ruf=mailto:d@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com;rua=mailto:d@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_agg@vali.email",True,reject,100,r,r,reject,136,Salesforce
